ID,Text,Category,Sentiment
1,"I absolutely love this product! It exceeded all my expectations.",Product Review,
2,"This is the worst experience I've ever had. Completely disappointed.",Product Review,
3,"The service was okay, nothing special but not terrible either.",Service Review,
4,"Amazing customer support! They solved my issue within minutes.",Customer Service,
5,"I hate waiting in long lines. This store is always so crowded.",Store Experience,
6,"The weather today is quite pleasant for a walk in the park.",General Comment,
7,"I'm feeling anxious about the upcoming presentation tomorrow.",Personal Expression,
8,"The food was delicious and the atmosphere was cozy.",Restaurant Review,
9,"Traffic was heavy but I arrived on time for the meeting.",Travel Experience,
10,"This software has bugs and crashes frequently.",Software Review,